ai khảo mà xưng
lập cà lập cập
lật đà lật đật
lắc la lắc lư
lắc đầu lè lưỡi
lắm mồm lắm miệng
lắm thầy thối ma
lắp ba lắp bắp
lắt la lắt lẻo
lắt nha lắt nhắt
lằng nhà lằng nhằng
lặn ngòi ngoi nước
lặp đi lặp lại
lặt và lặt vặt
lếch tha lếch thếch
lề mà lề mề
lễ bạc lòng thành
lỉnh ca lỉnh kỉnh
lịch bà lịch bịch
lịch cà lịch kịch
lọt sàng xuống nia
lỏng cha lỏng chỏng
lỏng la lỏng lẻo
lốp ba lốp bốp
lổn nha lổn nhổn
lổng cha lổng chổng
lội suối băng ngàn
lộn bậy lộn bạ
lộn xà lộn xộn
lộp bà lộp bộp
lờ và lờ vờ
lời nói gió bay
lời nói gói tội
lời nói gói vàng
lời ong tiếng ve
lời qua tiếng lại
lời ra tiếng vào
lời ăn lỗ chịu
lời ăn tiếng nói
lở mồm long móng
lởm cha lởm chởm
lởm khà lởm khởm
lợi bất cập hại
lụ khà lụ khụ
lục phủ ngũ tạng
lụng thà lụng thụng
lủ khủ lù khù
lủng ca lủng củng
lủng cà lủng củng
lủng la lủng lẳng
lừa thầy phản bạn
lừng khà lừng khừng
lử khử lừ khừ
lử thử lừ thừ
lử đử lừ đừ
lựa gió phất cờ
lực bất tòng tâm
lực lượng sản xuất
lực lượng thứ ba
lực lượng vũ trang
ma chê cưới trách
ma chê quỉ hờn
ma chê quỷ hờn
ma thiêng nước độc
mai danh ẩn tích
mang con bỏ chợ
mang nặng đẻ đau
mang tai mang tiếng
mau mồm mau miệng
minh sơn thệ hải
miếng cơm manh áo
miệng còn hoi sữa
miệng hùm gan sứa
miệng ăn núi lở
mua thù chuốc oán
mua đi bán lại
mua đứt bán đoạn
muôn hình muôn vẻ
muôn hình vạn trạng
muôn hường nghìn tía
muôn hồng nghìn tía
muôn màu muôn vẻ
muốn gì được vậy
màn trời chiếu đất
màu cờ sắc áo
màu mỡ riêu cua
mày ngài mắt phượng
mát da mát thịt
mát mày mát mặt
máu chảy ruột mềm
máy bay bà già
máy bay cánh quạt
máy bay cường kích
máy bay khu trục
máy bay lên thẳng
máy bay phản lực
máy bay tiêm kích
máy bay trực thăng
máy ghi hình từ
máy ghi âm từ
máy tính cá nhân
máy tính xách tay
máy tính điện tử
máy tính để bàn
mâm cao cỗ đầy
mãn chiều xế bóng
mãn nguyệt khai hoa
mèo già hoá cáo
mèo mả gà đồng
mèo đàng chó điếm
mê như điếu đổ
mình gầy xác ve
mình hạc xác ve
mình hạc xương mai
mình đồng da sắt
mò kim đáy biển
mò kim đáy bể
mô tô ba bánh
môi hở răng lạnh
môi trường sinh thái
môn đăng hộ đối
môn đương hộ đối
múa tay trong bị
múi chiếu bản đồ
mĩ thuật công nghiệp
mĩ tục thuần phong
mũ ni che tai
mũi tên hòn đạn
mơ mơ màng màng
mưa bom bão đạn
mưa thuận gió hoà
mưu bá đồ vương
mưu ma chước quỉ
mưu ma chước quỷ
mưu sâu kế giỏi
mươi bữa nửa tháng
mười phân vẹn mười
mượn gió bẻ măng
mạt cưa mướp đắng
mất mặn mất nhạt
mất tăm mất tích
mất ăn mất ngủ
mật ngọt chết ruồi
mật ít ruồi nhiều
mậu dịch quốc doanh
mắt la mày lét
mắt nhắm mắt mở
mắt phượng mày ngài
mắt thấy tai nghe
mắt to hơn bụng
mắt tròn mắt dẹt
mắt trước mắt sau
mặc khách tao nhân
mặt búng ra sữa
mặt bủng da chì
mặt dày mày dạn
mặt dạn mày dày
mặt hoa da phấn
mặt ngang mũi dọc
mặt người dạ thú
mặt nước cánh bèo
mặt nạc đóm dày
mặt nặng mày nhẹ
mặt sưng mày sỉa
mặt sứa gan lim
mặt vuông chữ điền
mặt ủ mày chau
mẹ goá con côi
mẹ gà con vịt
mẹ tròn con vuông
mềm nắn rắn buông
mệt lử cò bợ
mọc mũi sủi tăm
mỏi gối chồn chân
mỏng mày hay hạt
mồ côi mồ cút
mồ hôi mồ kê
mồ hôi nước mắt
mồ yên mả đẹp
mồm loa mép giải
mồm năm miệng mười
mỗi tuổi một già
một chín một mười
một chốn đôi quê
một công đôi việc
một cốt một đồng
một cổ hai tròng
một giời một vực
một lòng một dạ
một lô một lốc
một mất mười ngờ
một mất một còn
một nghìn hai trăm
một nghìn lẻ một
một ngàn lẻ một
một nắng hai sương
một sống một chết
một sớm một chiều
một thân một mình
một thôi một hồi
một trời một vực
một tấc đến trời
một vừa hai phải
một đồng một chữ
một đồng một cốt
mớ ba mớ bảy
mớ bảy mớ ba
mở cờ gióng trống
mở cờ trong bụng
mở mày mở mặt
mở mặt mở mày
mỡ để miệng mèo
mục hạ vô nhân
mức nước tuyệt đối
mừng mừng tủi tủi
mỹ thuật công nghiệp
mỹ tục thuần phong
nam nữ bình quyền
nam phụ lão ấu
nay đây mai đó
nem công chả phượng
ngang trời dọc đất
ngay hàng thẳng lối
nghe hơi nồi chõ
nghiên cứu khả thi
nghiêng nước nghiêng thành
nghèo rớt mùng tơi
nghèo rớt mồng tơi
nghèo xác nghèo xơ
nghèo xơ nghèo xác
nghĩ đi nghĩ lại
nghĩa trọng tình thâm
nghĩa vụ quân sự
nghề đời nó thế
nghệ sĩ công huân
nghệ sĩ nhân dân
nghệ sĩ ưu tú
nghệ thuật thứ bảy
nghịch nhĩ nghịch phách
ngoại giao nhân dân
ngoảnh đi ngoảnh lại
nguyên tố hoá học
nguội tanh nguội ngắt
ngày ba tháng tám
ngày lành tháng tốt
ngày một ngày hai
ngày qua tháng lại
ngày rộng tháng dài
ngày xửa ngày xưa
ngân hàng dữ liệu
ngân phiếu thanh toán
ngôn ngữ hình thức
ngôn ngữ lập trình
ngôn ngữ tự nhiên
ngôn ngữ văn hoá
ngôn ngữ văn học
ngôn ngữ đánh dấu
ngúng nga ngúng nguẩy
ngăn sông cấm chợ
ngơ ngơ ngẩn ngẩn
người dưng nước lã
người quen kẻ thuộc
người trần mắt thịt
ngấp nga ngấp nghé
ngất nga ngất nghểu
ngất nga ngất ngưởng
ngẩn ngẩn ngơ ngơ
ngậm cười chín suối
ngậm miệng ăn tiền
ngậm máu phun người
ngậm vành kết cỏ
ngậm đắng nuốt cay
ngập ngà ngập ngừng
ngắc nga ngắc ngứ
ngồi chơi xơi nước
ngồi chưa nóng chỗ
ngồi chưa nóng đít
ngồi chưa ấm chỗ
ngồi lê mách lẻo
ngồi lê đôi mách
ngồi xếp bằng tròn
ngủ gà ngủ gật
ngủng nga ngủng nghỉnh
ngựa con háu đá
ngựa non háu đá
ngựa quen đường cũ
nhanh như chảo chớp
nhi nữ thường tình
nhiệt giai bách phân
nhiệt độ không khí
nhiệt độ tới hạn
nhà cao cửa rộng
nhà giáo nhân dân
nhà giáo ưu tú
nhà hát nhân dân
nhà ngư loại học
nhân bản chủ nghĩa
nhân bản vô tính
nhân giống thuần chủng
nhân giống vô tính
nhân tình thế thái
nhân vô thập toàn
nhân văn chủ nghĩa
nhân đạo chủ nghĩa
nhân định thắng thiên
nhìn xa trông rộng
nhí nha nhí nhoẻn
nhí nha nhí nhảnh
nhõng nha nhõng nhẽo
nhùng nhà nhùng nhằng
nhăn nhăn nhở nhở
nhũng nha nhũng nhẵng
nhơn nhơn tự đắc
như diều gặp gió
như hình với bóng
như muối bỏ bể
như trở bàn tay
như ý sở cầu
như điên như cuồng
nhường cơm sẻ áo
nhạt phấn phai hương
nhả ngọc phun châu
nhấp nha nhấp nháy
nhấp nha nhấp nhô
nhấp nha nhấp nhổm
nhất bản vạn lợi
nhất cử lưỡng tiện
nhất cử nhất động
nhất hô bá ứng
nhất thành bất biến
nhập gia tuỳ tục
nhập nhà nhập nhằng
nhắc đi nhắc lại
nhắm mắt nhắm mũi
nhắm mắt xuôi tay
nhắm mắt đưa chân
nhẹ mồm nhẹ miệng
nhịn hơi nuốt tiếng
nhỏng nha nhỏng nhảnh
nhớn nha nhớn nhác
nhởn nha nhởn nhơ
nhức như búa bổ
nhức đầu sổ mũi
no dồn đói góp
no xôi chán chè
nuôi khỉ dòm nhà
nuôi ong tay áo
nài hoa ép liễu
nát gan nát ruột
nâng khăn sửa túi
ném đá giấu tay
nên cơm cháo gì
nói bóng nói gió
nói cạnh nói khoé
nói của đáng tội
nói gì thì nói
nói gần nói xa
nói hươu nói vượn
nói khan nói vã
nói khía nói cạnh
nói ngang cành bứa
nói ngon nói ngọt
nói nhăng nói cuội
nói quanh nói quẩn
nói ra nói vào
nói rã bọt mép
nói sùi bọt mép
nói thánh nói tướng
nói toạc móng heo
nói vã bọt mép
nói xa nói gần
nón thúng quai thao
nôn thốc nôn tháo
nông trang tập thể
nông trường quốc doanh
núng na núng nính
năm cha ba mẹ
năm châu bốn biển
năm cùng tháng tận
năm lần bảy lượt
năm tao bảy tiết
năm thê bảy thiếp
năm thì mười hoạ
năm xung tháng hạn
năng nhặt chặt bị
nơi ăn chốn ở
nước chảy bèo trôi
nước chảy chỗ trũng
nước chảy đá mòn
nước lã ra sông
nước lọ cơm niêu
nước mắt chảy xuôi
nước mắt cá sấu
nước mặn đồng chua
nước sôi lửa bỏng
nước sông công lính
nước đang phát triển
nước đổ lá khoai
nước đổ lá môn
nước đổ đầu vịt
nấu sử sôi kinh
nẫu ruột nhầu gan
nẫu ruột nẫu gan
nằm gai nếm mật
nặng mặt sa mày
nặng nợ má đào
nếm cơm thiên hạ
nếm mật nằm gai
nối giáo cho giặc
nồi da nấu thịt
nồi nào vung ấy
nồi đồng cối đá
nổi trận lôi đình
nổi đình nổi đám
nộ khí xung thiên
nội công ngoại kích
nở gan nở ruột
nở mày nở mặt
nở mặt nở mày
nở ruột nở gan
nứt đố đổ vách
nửa dơi nửa chuột
nửa nạc nửa mỡ
nửa úp nửa mở
nửa đường đứt gánh
nửa đời nửa đoạn
nữ nhi thường tình
oan oan tương báo
phi công vũ trụ
phi thương bất phú
phi thực dân hoá
phi vận bất đạt
phu quý phụ vinh
phun châu nhả ngọc
phá gia chi tử
phách lạc hồn xiêu
phát sốt phát rét
phân số thập phân
phép tính vi phân
phê bình văn học
phòng vệ dân sự
phóng viên nhiếp ảnh
phóng viên thường trú
phúc bất trùng lai
phúc đẳng hà sa
phúc đức tại mẫu
phơi lưng vạch áo
phương thức sản xuất
phương trình hoá học
phương trình vi phân
phượng chạ loan chung
phản ứng dây chuyền
phản ứng hoá học
phất pha phất phơ
phận cải duyên kim
phận hẩm duyên ôi
phận mỏng cánh chuồn
phận đẹp duyên ưa
phận ẩm duyên ôi
phập phà phập phồng
phổ thông cơ sở
phổ thông trung học
phổ thông đầu phiếu
phổ độ chúng sinh
phụ tử tình thâm
phủ định biện chứng
qua cầu rút ván
qua ngày đoạn tháng
qua đò khinh sóng
quai xanh vành chảo
quan hệ sản xuất
quan san cách trở
quan điểm lịch sử
quan điểm quần chúng
quang minh chính đại
quanh năm suốt tháng
quanh đi quẩn lại
quen hơi bén tiếng
qui hoạch đô thị
qui phạm pháp luật
qui tắc tam suất
qui đồng mẫu số
quy hoạch đô thị
quy phạm pháp luật
quy tắc tam suất
quy đồng mẫu số
quyến anh rủ yến
quyến gió rủ mây
quyền cao chức trọng
quyền huynh thế phụ
quyền rơm vạ đá
quyền sinh quyền sát
quá lắm cũng chỉ
quá lứa lỡ thì
quá mù ra mưa
quá tam ba bận
quân chủ chuyên chế
quân chủ lập hiến
quân hồi vô lệnh
quân hồi vô phèng
quân lệnh như sơn
quân nào tướng nấy
quân sư quạt mo
quân tử nhất ngôn
quân uỷ trung ương
quân đội thường trực
quê cha đất tổ
quýt làm cam chịu
quạ mượn lông công
quạ đội lốt công
quản lí nhà nước
quản lý nhà nước
quần là áo lượt
quần ngư tranh thực
quần nâu áo vải
quần tam tụ ngũ
quỉ khốc thần kinh
quỉ tha ma bắt
quốc dân đại hội
quốc kế dân sinh
quốc sắc thiên hương
quốc tế phụ nữ
quỷ khốc thần kinh
quỷ tha ma bắt
ra môn ra khoai
ra ngô ra khoai
ra tấm ra món
ra đầu ra đũa
rau nào sâu ấy
run như cầy sấy
rung cây doạ khỉ
ruộng cả ao liền
ruột để ngoài da
rào giậu ngăn sân
rào trước đón sau
rày gió mai mưa
rày đây mai đó
rày ước mai ao
rách như tổ đỉa
rán sành ra mỡ
rát cổ bỏng họng
rì rà rì rầm
ríu ra ríu rít
rút dây động rừng
rút phép thông công
rượu sớm cờ trưa
rượu sớm trà trưa
rượu vào lời ra
rầm rầm rộ rộ
rần rần rộ rộ
rầu sương rãi nắng
rắn mày rắn mặt
rắn đầu rắn mặt
rẽ thuý chia uyên
rối loạn chức năng
rối như canh hẹ
rối như tơ vò
rối ra rối rít
rối rít tít mù
rối tinh rối mù
rối tung rối mù
rồng đến nhà tôm
rổ rá cạp lại
rỗ sứt rỗ sì
rỗng tuếch rỗng toác
rộng chân rộng cẳng
rộng huếch rộng hoác
rủ rỉ rù rì
rủ áo chắp tay
rủ áo khoanh tay
rừng thiêng nước độc
rừng vàng biển bạc
rừng xanh núi đỏ
sa cơ lỡ bước
sa cơ lỡ vận
sao y bản chính
say hoa đắm nguyệt
say như điếu đổ
sen ngó đào tơ
sen đầm quốc tế
sinh con đẻ cái
sinh cơ lập nghiệp
sinh kí tử quy
sinh li tử biệt
sinh ly tử biệt
sinh sau đẻ muộn
sinh sản hữu tính
sinh sản vô tính
sinh sự sự sinh
sinh tử giá thú
siêu sinh tịnh độ
siêu tập ngữ liệu
song thất lục bát
suy lí gián tiếp
suy lí trực tiếp
suy lý gián tiếp
suy lý trực tiếp
suy nhược thần kinh
sách gối đầu giường
sáo mượn lông công
sét đánh ngang tai
sóng ra đi ô
sóng to gió lớn
sôi kinh nấu sử
sông cạn đá mòn
sơ học yếu lược
sơn cùng thuỷ tận
sơn hà xã tắc
sơn hào hải vị
sơn lam chướng khí
sơn son thiếp vàng
sơn son thếp vàng
sơn thanh thuỷ tú
sơn thuỷ hữu tình
sẩy đàn tan nghé
sắc nước hương trời
sắc sắc không không
số lẻ thập phân
sống chết mặc bay
sống dở chết dở
sống gửi thác về
sống tết chết giỗ
sớm mận tối đào
sớm nắng chiều mưa
sở hữu cá nhân
sở hữu toàn dân
sở hữu trí tuệ
sở hữu tập thể
sức dài vai rộng
sứt đầu mẻ trán
sừng sừng sộ sộ
sự vụ chủ nghĩa
tai bay vạ gió
tai qua nạn khỏi
tai to mặt lớn
tai vách mạch dừng
tai vách mạch rừng
tam khoanh tứ đốm
tam quyền phân lập
tam sao thất bản
tam tòng tứ đức
tan cửa nát nhà
tan nhà nát cửa
tan thành mây khói
tan xương nát thịt
tang bồng hồ thỉ
tang gia bối rối
tao nhân mặc khách
tay bắt mặt mừng
tay hòm chìa khoá
tay làm hàm nhai
tay năm tay mười
tay xách nách mang
tay đã nhúng chàm
tha phương cầu thực
tham bát bỏ mâm
tham công tiếc việc
tham quan ô lại
tham quyền cố vị
tham sinh uý tử
tham sống sợ chết
tham thanh chuộng lạ
tham tán công sứ
tham vàng bỏ ngãi
tham đó bỏ đăng
thanh thiên bạch nhật
thao thao bất tuyệt
thau chua rửa mặn
thay bậc đổi ngôi
thay da đổi thịt
thay lòng đổi dạ
thay ngựa giữa dòng
thay thầy đổi chủ
theo đóm ăn tàn
thi gan đấu trí
thi gan đọ sức
thiên binh thiên tướng
thiên binh vạn mã
thiên biến vạn hoá
thiên hình vạn trạng
thiên kim tiểu thư
thiên kinh vạn quyển
thiên kinh địa nghĩa
thiên la địa võng
thiết bị hiển thị
thiết bị ngoại vi
thiết bị đầu cuối
thiện nam tín nữ
thu nhập quốc dân
thu nhập thuần tuý
thu va thu vén
thua chị kém em
thuyết bất khả tri
thuyết duy ý chí
thuyết không thể biết
thuyết đô mi nô
thuần phong mĩ tục
thuần phong mỹ tục
thuận buồm xuôi gió
thuận chèo mát mái
thuận mua vừa bán
thuận vợ thuận chồng
thuật kỳ phép lạ
thuế quan bảo hộ
thuốc đắng dã tật
thuốc đắng đã tật
thuỷ chung như nhất
thuỷ quân lục chiến
thuỷ sư đô đốc
thuỷ động lực học
thành tích bất hảo
thành tấm thành món
tháng ba ngày tám
tháng đợi năm chờ
thánh tha thánh thót
tháo cũi sổ lồng
thâm căn cố đế
thâm gan tím ruột
thâm sơn cùng cốc
thân bại danh liệt
thân bằng cố hữu
thân bằng quyến thuộc
thân cô thế cô
thân cô thế cùng
thân làm tội đời
thân lừa ưa nặng
thân tàn ma dại
thâu đêm suốt sáng
thêm mắm thêm muối
thì thà thì thầm
thì thà thì thụt
thông kim bác cổ
thông tin đại chúng
thông đồng bén giọt
thùng rỗng kêu to
thăm ván bán thuyền
thăng quan tiến chức
thư kí toà soạn
thư ký toà soạn
thư tín điện tử
thương hải tang điền
thương mại điện tử
thương vay khóc mướn
thưỡn thà thưỡn thẹo
thượng lộ bình an
thượng tầng kiến trúc
thượng vàng hạ cám
thả hổ về rừng
thả mồi bắt bóng
thấp cổ bé họng
thấp cổ bé miệng
thất cơ lỡ vận
thất ngôn bát cú
thất tha thất thểu
thất điên bát đảo
thất đảm kinh hồn
thấu tình đạt lí
thấu tình đạt lý
thầm yêu trộm nhớ
thần giao cách cảm
thần kinh ngoại biên
thần kinh trung ương
thần nanh đỏ mỏ
thầy bói xem voi
thầy thuốc nhân dân
thầy thuốc ưu tú
thậm cấp chí nguy
thậm thà thậm thụt
thập tử nhất sinh
thắt lưng buộc bụng
thắt đáy lưng ong
thẳng cánh cò bay
thặng dư giá trị
thế giới thứ ba
thế giới vi mô
thế giới vĩ mô
thế thái nhân tình
thề non hẹn biển
thề sống thề chết
thể dục dụng cụ
thể dục nhịp điệu
thể dục thẩm mĩ
thể dục thẩm mỹ
thể dục thể hình
thệ hải minh sơn
thị trường chứng khoán
thị trường tiền tệ
thịt nát xương tan
thọc gậy bánh xe
thỏ lặn ác tà
thời gian phân chia
thời đại đồ sắt
thời đại đồ đá
thời đại đồ đồng
thụ phấn nhân tạo
thụ tinh nhân tạo
thủng nồi trôi rế
thức khuya dậy sớm
thức ăn hỗn hợp
thừa gió bẻ măng
thừa giấy vẽ voi
thừa sống thiếu chết
thực dụng chủ nghĩa
thực mục sở thị
thực phẩm chuyển gen
thực sự cầu thị
thực tình mà nói
thực túc binh cường
thực tại khách quan
thực vật bậc thấp
tiên phong đạo cốt
tiên thiên bất túc
tiếc lục tham hồng
tiến sĩ khoa học
tiến thoái lưỡng nan
tiếng bấc tiếng chì
tiếng cả nhà không
tiếng lành đồn xa
tiền chủ hậu khách
tiền căn hậu kiếp
tiền hô hậu ủng
tiền hậu bất nhất
tiền lương danh nghĩa
tiền lương thực tế
tiền mất tật mang
tiền nghìn bạc vạn
tiền nào của nấy
tiền nào của ấy
tiền oan nghiệp chướng
tiền phong chủ nghĩa
tiền trao cháo múc
tiền trảm hậu tấu
tiểu thủ công nghiệp
to gan lớn mật
toà án thượng thẩm
toàn thiện toàn mĩ
toàn thiện toàn mỹ
toàn tâm toàn ý
toạ hưởng kì thành
toạ hưởng kỳ thành
trai thanh gái lịch
trai tài gái sắc
tranh bá đồ vương
tranh tối tranh sáng
trao thân gửi phận
trao xương gửi thịt
tre già măng mọc
trong giá trắng ngần
trong ấm ngoài êm
tru di tam tộc
trung bình chủ nghĩa
trung học chuyên nghiệp
trung học cơ sở
trung học phổ thông
trung quân ái quốc
trung ương tập quyền
truy cập ngẫu nhiên
truy cập tuần tự
trà dư tửu hậu
tràng giang đại hải
trái chứng trái thói
trái gió giở giời
trái gió trở trời
trái nắng trở trời
trái tai gai mắt
trái tính trái nết
trèo cao ngã đau
trèo đèo lội suối
trên kính dưới nhường
trên đe dưới búa
trí tuệ nhân tạo
trói giật cánh khuỷu
trói gà không chặt
trói voi bỏ rọ
trôi sông lạc chợ
trông giỏ bỏ thóc
trông gà hoá cuốc
trông mặt đặt tên
trùng trùng điệp điệp
trúc chẻ ngói tan
trăm cay nghìn đắng
trăm cay ngàn đắng
trăm thứ bà giằn
trăng thanh gió mát
trưa trờ trưa trật
trưng cầu dân ý
trưng cầu ý dân
trước sau như một
trướng rủ màn che
trường giang đại hải
trường sinh bất lão
trường sinh bất tử
trường xuân bất lão
trưởng đoàn ngoại giao
trầm ngư lạc nhạn
trầm tư mặc tưởng
trầy vi tróc vảy
trầy vi tróc vẩy
trậm trầy trậm trật
trận đồ bát quái
trật trà trật trưỡng
trẻ người non dạ
trị ngoại pháp quyền
trọng nghĩa khinh tài
trốn chúa lộn chồng
trống hoang trống huých
trống huơ trống hoác
trống huếch trống hoác
trống hơ trống hoác
trống tuếch trống toác
trống tuềnh trống toàng
trộm cắp như rươi
trộm nhớ thầm yêu
trời long đất lở
trời tru đất diệt
trời xanh nước biếc
trời xui đất khiến
trời đánh không chết
trời đánh thánh vật
trời ơi đất hỡi
trợn trừng trợn trạc
trợn trừng trợn trạo
trục xuất cảnh ngoại
trứng chọi với đá
trứng gà trứng vịt
trứng khôn hơn rận
trứng khôn hơn vịt
trứng để đầu đẳng
tu nhân tích đức
tuyệt vô âm tín
tuyệt đại bộ phận
tuyệt đại đa số
tuần tự nhi tiến
tuổi cao sức yếu
tuỳ cơ ứng biến
tài hèn sức mọn
tài nào mà chẳng
tài sơ trí thiển
tài sản cố định
tài sản lưu động
tài thô trí thiển
tá hoả tam tinh
tác hoạ tác phúc
tác oai tác phúc
tác oai tác quái
tác phúc tác hoạ
tác uy tác quái
tác yêu tác quái
tái xanh tái xám
tán hươu tán vượn
táng tận lương tâm
táng đởm kinh hồn
tâm phục khẩu phục
tâm tâm niệm niệm
tâm đầu ý hợp
té nước theo mưa
tên lửa vũ trụ
tên lửa đường đạn
tên lửa đạn đạo
tên rơi đạn lạc
tình cảm chủ nghĩa
tình ngay lí gian
tình ngay lý gian
tình sâu nghĩa nặng
tình thâm nghĩa trọng
tình xưa nghĩa cũ
tí ta tí toét
tí toe tí toét
tía lia tía lịa
tích thiểu thành đa
tích tiểu thành đại
tích tụ tư bản
tóc bạc da mồi
tóp ta tóp tép
tô lục chuốt hồng
tô son trát phấn
tô son điểm phấn
tôn sư trọng đạo
tùm lum tà la
tú khẩu cẩm tâm
túc trái tiền oan
túm năm tụm ba
túng đất sẩy chân
tăng gia sản xuất
tư bản bất biến
tư bản chủ nghĩa
tư bản cố định
tư bản khả biến
tư cách pháp nhân
tư liệu lao động
tư liệu sản xuất
tư pháp quốc tế
tương kế tựu kế
tương quan lực lượng
tại ngoại hậu cứu
tả phù hữu bật
tả xung hữu đột
tả xông hữu đột
tấc đất cắm dùi
tấc đất tấc vàng
tấp ta tấp tểnh
tất ta tất tưởi
tầm bậy tầm bạ
tầm chương trích cú
tầm phơ tầm phào
tầm sư học đạo
tần ngà tần ngần
tẩm ngẩm tầm ngầm
tẩn mẩn tần mần
tận thiện tận mĩ
tận thiện tận mỹ
tập trung dân chủ
tập trung tư bản
tập đoàn cứ điểm
tắt lửa tối đèn
tắt ngấm tắt ngầm
tề gia nội trợ
tỉ giá hối đoái
tỉ giá thả nổi
tỉ lệ bản đồ
tỉ lệ phần trăm
tốc chiến tốc quyết
tốc chiến tốc thắng
tối lửa tắt đèn
tối mày tối mặt
tối mù tối mịt
tối mắt tối mũi
tối mặt tối mũi
tối tăm mày mặt
tối tăm mặt mũi
tống cựu nghênh tân
tồn tại xã hội
tổ hợp sản xuất
tổng công trình sư
tổng lãnh sự quán
tổng tham mưu trưởng
tội phạm chiến tranh
tới nơi tới chốn
tủi phận hờn duyên
tứ cố vô thân
tứ thời bát tiết
tứ đại đồng đường
tức cảnh sinh tình
tức như bò đá
tức nước vỡ bờ
từ điển bách khoa
từ điển giải thích
từ điển song ngữ
từ điển trực tuyến
từ điển tường giải
từ điển điện tử
từng li từng tí
tử biệt sinh li
tử biệt sinh ly
tự biên tự diễn
tự cao tự đại
tự cung tự cấp
tự cấp tự túc
tự cổ chí kim
tự do chủ nghĩa
tự kiêu tự đại
tự kỉ ám thị
tự kỷ ám thị
tự lực cánh sinh
tự nhiên chủ nghĩa
tự sản tự tiêu
tự trang tự chế
tự tung tự tác
tự tư tự lợi
tỷ giá hối đoái
tỷ giá thả nổi
tỷ lệ bản đồ
tỷ lệ phần trăm
u u minh minh
uốn ba tấc lưỡi
uốn gối mềm lưng
uống nước cả cặn
uống nước nhớ nguồn
uỷ ban hành chính
uỷ ban nhân dân
uỷ ban quân quản
vai u thịt bắp
vang mình sốt mẩy
vay quanh mượn quẩn
vi sinh vật học
vi ti huyết quản
vi tiểu hình hoá
vi điện tử học
vinh thân phì gia
viêm não nhật bản
voi giày ngựa xé
vong gia thất thổ
vu oan giá hoạ
vui đâu chầu đấy
vung tay quá trán
vuốt mặt không kịp
vành đai du kích
vào luồn ra cúi
vào sinh ra tử
vào tù ra tội
vá chằng lót đụp
vá chằng vá đụp
ván đã đóng thuyền
váng mình sốt mẩy
vò đầu bóp trán
vò đầu bứt tai
vô công rồi nghề
vô danh tiểu tốt
vô hồi kì trận
vô hồi kỳ trận
vô kế khả thi
vô sư vô sách
vô sản chuyên chính
vô thuỷ vô chung
vô thưởng vô phạt
vô tiền khoáng hậu
vô tri vô giác
vô tuyến truyền hình
vô tâm vô tính
vô ý vô tứ
vùi hoa dập liễu
vùi liễu dập hoa
vùng kinh tế mới
vùng sâu vùng xa
vùng và vùng vằng
văn dốt vũ dát
văn hoá quần chúng
văn học dân gian
văn học thành văn
văn học truyền khẩu
văn học truyền miệng
văn ôn võ luyện
vũ khí hoá học
vũ khí hạt nhân
vũ khí sinh học
vũ khí tên lửa
vũ khí vi trùng
vơ bèo gạt tép
vơ đũa cả nắm
vườn không nhà trống
vạ mồm vạ miệng
vạch lá tìm sâu
vạn bất đắc dĩ
vạn sự như ý
vạn thọ vô cương
vất va vất vưởng
vật bất li thân
vật lí cổ điển
vật lí hiện đại
vật lí hạt nhân
vật lí khí quyển
vật lí phân tử
vật lí sinh vật
vật lí trị liệu
vật lý cổ điển
vật lý hiện đại
vật lý hạt nhân
vật lý khí quyển
vật lý phân tử
vật lý sinh vật
vật lý trị liệu
vật đổi sao dời
vắng tanh vắng ngắt
vắng trăng có sao
vắt chanh bỏ vỏ
vắt chân chữ ngũ
vắt mũi chưa sạch
vắt va vắt vẻo
vẽ rắn thêm chân
về lâu về dài
vệ tinh nhân tạo
vệ tinh tự nhiên
vệ tinh địa tĩnh
vị cây dây leo
vớ va vớ vẩn
vợ cái con cột
vợ đẹp con khôn
vụng chèo khéo chống
vừa đôi phải lứa
vừa đấm vừa xoa
xa chạy cao bay
xa lơ xa lắc
xa lắc xa lơ
xa lộ thông tin
xa thơm gần thối
xanh vỏ đỏ lòng
xe điện bánh hơi
xin đi đằng đầu
xoá đói giảm nghèo
xui nguyên giục bị
xun xun xoe xoe
xuân bất tái lai
xuôi chèo mát mái
xuất khẩu thành chương
xuất khẩu thành thi
xuất kì bất ý
xuất kỳ bất ý
xuất quỉ nhập thần
xuất quỷ nhập thần
xuất đầu lộ diện
xá tội vong nhân
xây dựng cơ bản
xây dựng gia đình
xã hội chủ nghĩa
xì xà xì xồ
xì xà xì xụp
xí xa xí xớn
xô bát xô đũa
xôi hỏng bỏng không
xúc cảnh sinh tình
xúm đen xúm đỏ
xúm đông xúm đỏ
xúng xa xúng xính
xưng hùng xưng bá
xương đồng da sắt
xướng ca vô loài
xất bất xang bang
xấu chàng hổ ai
xập xí xập ngầu
xắn váy quai cồng
xỏ chân lỗ mũi
xỏ lá ba que
xốc xa xốc xếch
xộc xà xộc xệch
xử lí từ xa
xử lí văn bản
xử lý từ xa
xử lý văn bản
yên giấc nghìn thu
yên giấc ngàn thu
yểu điệu thục nữ
ác giả ác báo
ác hữu ác báo
ác một cái là
ái nam ái nữ
án binh bất động
áo gấm đi đêm
áp thấp nhiệt đới
âm cực dương hồi
âm dương cách biệt
âm dương cách trở
âm âm u u
